,cluster_index,cluster,log2fc,p,padj
0,0,G1,-2.158012174563512,0.0024068650129900225,0.013237757571445123
1,1,G2,0.5787803789874952,0.7806876479887574,0.7806876479887574
2,2,G3,2.0654981495722233,0.010422369759088782,0.028661516837494152
3,3,G4,1.278634964392255,0.08943598110569521,0.15784352663311696
4,4,G5,-1.0326652677432364,0.1004458805847108,0.15784352663311696
5,5,G6,1.9623592295465022,0.005844363664955745,0.021429333438171067
6,6,G7,0.2521032597951766,0.290052028544748,0.39882153924902847
7,7,G8,0.4806123673614763,0.37295402345412676,0.45583269533282156
8,8,G9,0.2836319928015312,0.6359855092836023,0.6995840602119626
9,9,G10,-1.8601388832065706,0.04210427037939981,0.09262939483467958
10,10,G11,1.8302447912931545,0.0002376781450052177,0.0026144595950573944
