n_PCs,test_R2,train_R2
10,0.0677,0.9239
20,0.1671,0.942
30,0.2083,0.9774
40,0.2302,0.9765
50,0.179,0.9825
60,0.2285,0.9797
70,0.2526,0.9852
80,0.2449,0.9819
90,0.2398,0.9823
100,0.2354,0.9857
10,0.4199,0.9263
20,0.3541,0.9403
30,0.8638,0.9674
40,0.7896,0.9721
50,0.8197,0.9729
60,0.8833,0.9797
70,0.8636,0.9808
80,0.9007,0.9792
90,0.8956,0.9817
10,0.1794,0.9243
20,-0.1094,0.9378
30,0.4215,0.9627
40,0.5967,0.9685
50,0.6592,0.9787
60,0.5568,0.9843
70,0.7578,0.9808
80,0.8309,0.9849
90,0.9345,0.9845
100,0.8872,0.9845
