n_PCs,test_RMSE,train_RMSE
10,21.0532,8.2525
20,19.8992,7.2037
30,19.4013,4.4921
40,19.1301,4.582
50,19.7566,3.9562
60,19.1516,4.2569
70,18.8497,3.6334
80,18.9473,4.0264
90,19.0113,3.9833
100,19.0658,3.5735
10,15.6253,8.3062
20,16.4878,7.4767
30,7.5703,5.5268
40,9.4106,5.1097
50,8.7122,5.0377
60,7.0091,4.3605
70,7.5766,4.2415
80,6.4656,4.4108
90,6.6296,4.1441
10,23.2153,7.7513
20,26.9934,7.0271
30,19.4931,5.4406
40,16.2751,4.9988
50,14.9611,4.1098
60,17.0615,3.534
70,12.6138,3.9045
80,10.5398,3.4625
90,6.5587,3.511
100,8.6071,3.5041
